system_a,system_b,metric,value_a,value_b,delta,delta_ci_lo,delta_ci_high,p_value,significant_raw,in_family,p_value_adjusted,significant,n_common
semantic_co,bm25,avg_relevance,0.695036721156124,0.6580668088130774,0.03696991234304667,0.025970593461265106,0.048418917318171044,9.999000099990002e-05,true,false,,,469
semantic_co,bm25,ndcg@10,0.8436648191010369,0.8005285869288834,0.0431362321721536,0.028474441546423035,0.05789529712336528,9.999000099990002e-05,true,true,0.00015998400159984003,true,469
semantic_co,bm25,recall@10,0.07306224588051864,0.07004031855819366,0.0030219273223249686,3.0558371467175455e-05,0.005776400098089394,0.0380961903809619,true,false,,,479
semantic_co,bm25,recall@50,0.27581094520843574,0.2702705381092251,0.005540407099210671,-0.004793736320318346,0.015606971437821731,0.29547045295470453,false,false,,,479
semantic_co,bm25,recall@100,0.37288989393513267,0.3544640200433997,0.018425873891732898,0.006137956458345957,0.03046182881066337,0.0030996900309969004,true,false,,,479
semantic_co,bm25,precision@10,0.9686093342809762,0.9171049514333097,0.05150438284766643,0.038355839848377156,0.06567164179104477,9.999000099990002e-05,true,false,,,469
hybrid_co_k60,semantic_co,avg_relevance,0.6871459031373743,0.695036721156124,-0.007890818018749787,-0.01482049785088165,-0.0011162723795986125,0.025997400259974,true,false,,,469
hybrid_co_k60,semantic_co,ndcg@10,0.8374975478284019,0.8436648191010369,-0.006167271272635015,-0.0150678025169142,0.0030283073126908897,0.19488051194880512,false,true,0.2227205850843487,false,469
hybrid_co_k60,semantic_co,recall@10,0.07341986969464208,0.07306224588051864,0.0003576238141234297,-0.0016361127440825643,0.0027897534398364397,0.7654234576542346,false,false,,,479
hybrid_co_k60,semantic_co,recall@50,0.2887490486239116,0.27581094520843574,0.012938103415475874,0.005882484449408915,0.020857991771157797,0.0006999300069993001,true,false,,,479
hybrid_co_k60,semantic_co,recall@100,0.38487682434713477,0.37288989393513267,0.011986930412002071,0.003892462748173058,0.020606824741638108,0.004999500049995001,true,false,,,479
hybrid_co_k60,semantic_co,precision@10,0.9498933901918977,0.9686093342809762,-0.01871594408907842,-0.026510305614783226,-0.011513859275053304,9.999000099990002e-05,true,false,,,469
hybrid_co_rerank,semantic_co,avg_relevance,0.7100670118793787,0.695036721156124,0.015030290723254475,0.006688750126916446,0.02364258638778894,0.00039996000399960006,true,false,,,469
hybrid_co_rerank,semantic_co,ndcg@10,0.8687124645708053,0.8436648191010369,0.025047645469768363,0.013834835455262538,0.036655202287875124,9.999000099990002e-05,true,true,0.00015998400159984003,true,469
hybrid_co_rerank,semantic_co,recall@10,0.07458939302893892,0.07306224588051864,0.0015271471484202984,-0.0007409932310038289,0.004251194084097458,0.2535746425357464,false,false,,,479
hybrid_co_rerank,semantic_co,recall@50,0.29086817140054183,0.27581094520843574,0.015057226192106095,0.007978483286857123,0.022883906209954948,9.999000099990002e-05,true,false,,,479
hybrid_co_rerank,semantic_co,recall@100,0.38487682434713477,0.37288989393513267,0.011986930412002071,0.003892462748173058,0.020606824741638108,0.004999500049995001,true,false,,,479
hybrid_co_rerank,semantic_co,precision@10,0.9601279317697229,0.9686093342809762,-0.008481402511253257,-0.017910447761194027,0.0008528784648187626,0.08239176082391761,false,false,,,469
bm25_rerank,bm25,avg_relevance,0.7004975124378109,0.6580668088130774,0.04243070362473347,0.03251599147121535,0.052558635394456286,9.999000099990002e-05,true,false,,,469
bm25_rerank,bm25,ndcg@10,0.8581058701101735,0.8005285869288834,0.05757728318129009,0.044572797786763055,0.07069153277618537,9.999000099990002e-05,true,true,0.00015998400159984003,true,469
bm25_rerank,bm25,recall@10,0.07332725241849675,0.07004031855819366,0.0032869338603030663,0.0017621612010020667,0.005012549504268106,9.999000099990002e-05,true,false,,,479
bm25_rerank,bm25,recall@50,0.2740716745499345,0.2702705381092251,0.003801136440709421,0.002497282194750784,0.005238899290266603,9.999000099990002e-05,true,false,,,479
bm25_rerank,bm25,recall@100,0.3544640200433997,0.3544640200433997,0.0,,,1.0,false,false,,,479
bm25_rerank,bm25,precision@10,0.9546316038853352,0.9171049514333097,0.03752665245202559,0.02601279317697228,0.04989339019189765,9.999000099990002e-05,true,false,,,469
semantic_co_rerank,semantic_co,avg_relevance,0.7104951433309643,0.695036721156124,0.015458422174840085,0.008635394456289976,0.02270788912579957,9.999000099990002e-05,true,false,,,469
semantic_co_rerank,semantic_co,ndcg@10,0.8651152694862492,0.8436648191010369,0.021450450385212178,0.012620346694071728,0.030701670662612576,9.999000099990002e-05,true,true,0.00015998400159984003,true,469
semantic_co_rerank,semantic_co,recall@10,0.07269280626328792,0.07306224588051864,-0.0003694396172307181,-0.0011951594448645273,0.0003539424166783991,0.37076292370762925,false,false,,,479
semantic_co_rerank,semantic_co,recall@50,0.27620231748451224,0.27581094520843574,0.0003913722760764698,-0.0004668174221847005,0.001179768723935481,0.35936406359364065,false,false,,,479
semantic_co_rerank,semantic_co,recall@100,0.37288989393513267,0.37288989393513267,0.0,,,1.0,false,false,,,479
semantic_co_rerank,semantic_co,precision@10,0.9664771381189293,0.9686093342809762,-0.0021321961620469087,-0.007889125799573559,0.0034115138592750527,0.43775622437756223,false,false,,,469
hybrid_co_rerank,hybrid_co_k60,avg_relevance,0.7100670118793787,0.6871459031373743,0.022921108742004266,0.014605543710021322,0.031876332622601276,9.999000099990002e-05,true,false,,,469
hybrid_co_rerank,hybrid_co_k60,ndcg@10,0.8687124645708053,0.8374975478284019,0.03121491674240338,0.020449853405106036,0.0423825428579017,9.999000099990002e-05,true,true,0.00015998400159984003,true,469
hybrid_co_rerank,hybrid_co_k60,recall@10,0.07458939302893892,0.07341986969464208,0.0011695233342968688,-0.00014295950476183786,0.0027172737071582964,0.10478952104789521,false,false,,,479
hybrid_co_rerank,hybrid_co_k60,recall@50,0.29086817140054183,0.2887490486239116,0.0021191227766302195,0.0007024229968995069,0.0036338621795970376,0.003999600039996,true,false,,,479
hybrid_co_rerank,hybrid_co_k60,recall@100,0.38487682434713477,0.38487682434713477,0.0,,,1.0,false,false,,,479
hybrid_co_rerank,hybrid_co_k60,precision@10,0.9601279317697229,0.9498933901918977,0.01023454157782516,0.0006396588486140725,0.020042643923240944,0.03799620037996201,true,false,,,469
semantic_co_rerank,bm25_rerank,avg_relevance,0.7104951433309643,0.7004975124378109,0.00999763089315328,0.0024696458185264163,0.018153281212982705,0.012698730126987301,true,false,,,469
semantic_co_rerank,bm25_rerank,ndcg@10,0.8651152694862492,0.8581058701101735,0.007009399376075676,-0.002757016760824791,0.016916222644766322,0.1648835116488351,false,true,0.2198446821984468,false,469
semantic_co_rerank,bm25_rerank,recall@10,0.07269280626328792,0.07332725241849675,-0.0006344461552088154,-0.0038173248661667854,0.0021853620479629,0.6939306069393061,false,false,,,479
semantic_co_rerank,bm25_rerank,recall@50,0.27620231748451224,0.2740716745499345,0.0021306429345777193,-0.008184091044268121,0.01224332274866241,0.6774322567743226,false,false,,,479
semantic_co_rerank,bm25_rerank,recall@100,0.37288989393513267,0.3544640200433997,0.018425873891732898,0.006137956458345957,0.03046182881066337,0.0030996900309969004,true,false,,,479
semantic_co_rerank,bm25_rerank,precision@10,0.9664771381189293,0.9546316038853352,0.011845534233593935,0.0025112532575219137,0.021701610992655763,0.014498550144985502,true,false,,,469
hybrid_co_rerank,semantic_co_rerank,avg_relevance,0.7100670118793787,0.7104951433309643,-0.0004281314515856083,-0.005250998409313973,0.004477611940298508,0.8656134386561344,false,false,,,469
hybrid_co_rerank,semantic_co_rerank,ndcg@10,0.8687124645708053,0.8651152694862492,0.0035971950845561824,-0.0034352381722107654,0.011185046234403816,0.33756624337566243,false,true,0.33756624337566243,false,469
hybrid_co_rerank,semantic_co_rerank,recall@10,0.07458939302893892,0.07269280626328792,0.0018965867656510166,-0.0003802893719963751,0.004643633607973791,0.16008399160083991,false,false,,,479
hybrid_co_rerank,semantic_co_rerank,recall@50,0.29086817140054183,0.27620231748451224,0.014665853916029627,0.007618118591053172,0.022467005408246494,9.999000099990002e-05,true,false,,,479
hybrid_co_rerank,semantic_co_rerank,recall@100,0.38487682434713477,0.37288989393513267,0.011986930412002071,0.003892462748173058,0.020606824741638108,0.004999500049995001,true,false,,,479
hybrid_co_rerank,semantic_co_rerank,precision@10,0.9601279317697229,0.9664771381189293,-0.006349206349206348,-0.014238332148779911,0.0013266998341625212,0.11648835116488351,false,false,,,469
